gene_id	CL	CR	CO	KI	LI	LU	MG	OV	PA	SP	ST
ENSCAFG00000000200	2.13177149	1.491183172	0.493023579	0.806619293	2.023044552	7.734025744	3.954327618	1.374051633	1.006791444	0.766693914	0.750773072
ENSCAFG00000000203	28.90581313	50.94305942	29.04673029	9.706998879	41.46477971	12.68915181	18.7697206	13.08531473	127.1036631	24.32748834	15.46746263
ENSCAFG00000000204	37.51598501	37.30050085	22.49897086	32.23567536	43.59455596	27.60079287	24.12563189	26.51017562	32.21356952	24.82422436	20.10279306
ENSCAFG00000000205	0.03269245	0	3.136442554	3.909568194	3.711945323	39.83496946	0.088766041	28.56608105	0.555989305	17.42642915	3.444182143
ENSCAFG00000000206	12.14133497	20.54277	0.921008675	7.461787565	1394.630092	177.9241884	27.17919832	36.81987265	4.541831551	11.67311784	12.39140732
ENSCAFG00000000207	9.740139645	10.35527616	7.63025481	4.762376517	8.732568409	5.655074419	7.483979806	12.42090919	8.212112299	9.211950764	6.319162108
ENSCAFG00000000209	10.65856941	13.35517263	34.41710878	25.5752127	53.09763287	10.58402516	28.34724068	24.9751223	76.92562834	15.05249513	37.20170947
ENSCAFG00000000210	10.3378478	7.611744353	6.488596597	8.69791463	5.954976539	3.820589782	8.716533278	7.673943176	8.185815508	14.54730183	6.110434888
ENSCAFG00000000211	0	0	0	0	0	0	0	0.061720561	0	0	0
ENSCAFG00000000212	3.805892217	3.098913944	1.856956512	1.599203875	1.695077052	2.260411187	1.721404219	3.917448084	1.724318182	0.874841849	10.4295109
ENSCAFG00000000213	0	0	0.134483706	0.044043887	0	0.100442967	0.365498069	0.051645781	0	0.046713555	0.180838823
ENSCAFG00000000214	2.743771078	3.399124872	2.535313202	1.611572677	2.077243159	3.343061924	1.784903084	2.627114237	5.030200535	3.709082075	1.831413587
ENSCAFG00000000215	10.33287745	16.29489461	8.465691469	6.628011678	17.41732268	9.178273228	13.06024404	12.73517816	5.191737968	13.57663068	10.35063903
ENSCAFG00000000217	18.09090207	22.45039957	54.94811078	105.9768494	12.40919095	37.16806813	28.12359795	44.47883113	7.43447861	8.252605622	30.92621013
ENSCAFG00000000219	6.605385485	10.98479066	19.08330975	5.651720727	5.085022967	4.76656036	5.915137355	7.549871843	14.23032086	5.092442561	6.123176399
ENSCAFG00000000220	4.090036199	4.183373105	0.393356245	0.735669839	12.0841381	0.329922794	0.118315789	4.888605906	2.982807487	0.17464477	0.992966368
ENSCAFG00000000221	0.043128848	0.189975663	1.213041152	65.15079044	219.1100484	0.400288684	0.126968532	0.237388978	0.345614973	0.17393007	1.274081407
ENSCAFG00000000223	1.070691981	0.704149127	0.662229897	0.57966776	3.188279907	0.511610044	0.150985002	3.385111824	0.195347594	0.018830347	0.766861191
ENSCAFG00000000224	5.94129769	7.168166554	9.861659215	6.903320204	6.917921318	5.192569596	6.841705911	8.370721506	9.906377005	6.561745666	8.82496942
ENSCAFG00000000225	0.224854794	0.195989851	0.565344122	0.325559634	2.132413316	1.335267176	0.848693874	0.20990319	1.577807487	4.091744111	0.204055913
ENSCAFG00000000226	38.25800081	32.92299666	31.0205748	22.22748932	31.74199373	21.74496172	28.76029963	21.1142471	109.4998396	29.36168289	37.63373559
ENSCAFG00000000228	29.25402574	30.91948015	49.4154955	50.17242289	184.0149583	57.09567158	84.83163267	38.88672369	82.66208556	48.48060985	105.5516904
ENSCAFG00000000229	11.69177275	9.192297146	10.61533678	12.63518711	30.42700089	12.8496559	17.62662422	8.928695891	37.10101604	15.03322802	18.82008368
ENSCAFG00000000230	1.889292715	0.397234546	24.13768435	0.081971836	1.033729132	3.801380763	2.386064287	0.103449115	0.157780749	5.00604333	2.720565398
ENSCAFG00000000231	12.33740594	14.92457751	7.327783673	13.85102661	71.57602687	9.876175105	16.87845886	9.598214736	34.82822193	10.9513011	15.10874812
ENSCAFG00000000233	67.20927389	86.03947922	48.52949071	44.43325337	111.0500314	53.22154253	65.33736413	36.00439411	114.8456016	49.47869767	52.8194034
